Date,Sessions,Orders,Revenue,Refunds,Marketing_Spend,New_Customers,Returning_Customers,Sessions_Organic_Search,Sessions_Paid_Social,Sessions_Email,Sessions_Direct,Sessions_Marketplace
2026-03-28,3297,77,439772.98,13230.31,38393.68,48,29,1101,648,437,634,477
2026-03-29,2640,61,360514.92,9768.38,39768.53,36,25,909,534,370,477,350
2026-03-30,2323,55,319420.63,9728.83,45867.88,34,21,794,467,325,438,299
2026-03-31,2373,56,328759.01,9324.22,44646.58,31,25,808,476,348,462,279
2026-04-01,2474,65,375458.4,11548.09,43750.13,37,28,830,488,325,485,345
2026-04-02,2485,56,330052.1,10413.48,44880.36,33,23,832,489,380,477,307
2026-04-03,3261,69,400992.67,11879.14,39680.31,41,28,1129,664,460,562,445
2026-04-04,3199,74,414969.28,7282.55,47217.01,44,30,1095,644,431,645,384
2026-04-05,2550,59,336616.4,11178.96,47499.88,37,22,867,510,345,453,375
2026-04-06,2505,58,330789.22,8995.97,41475.62,33,25,858,504,358,467,319
2026-04-07,2567,56,321992.33,14362.18,42048.55,33,23,885,521,373,494,295
2026-04-08,2465,53,310742.83,10454.04,43507.41,31,22,864,508,330,407,357
2026-04-09,2559,64,361903.19,12080.49,44565.61,38,26,851,500,340,516,352
2026-04-10,3481,83,467978.94,13616.34,43707.59,51,32,1163,684,523,690,422
2026-04-11,3269,81,460812.3,9045.56,44080.35,45,36,1082,637,477,600,473
2026-04-12,2741,61,353073.82,6812.18,45562.2,36,25,922,542,340,565,372
2026-04-13,2549,64,358329.05,12296.94,42192.86,33,31,873,514,353,508,302
2026-04-14,2438,54,307920.53,7052.23,43785.41,31,23,821,483,349,473,314
2026-04-15,2530,58,334496.81,9001.53,39704.67,34,24,850,500,377,476,327
2026-04-16,2659,67,387496.48,14190.28,42903.32,39,28,889,523,350,525,371
2026-04-17,3258,84,495170.99,17792.39,43031.22,50,34,1143,673,405,617,420
2026-04-18,3333,73,405384.95,14088.86,42375.4,39,34,1133,666,480,618,436
2026-04-19,3142,76,440309.27,11315.15,45138.2,40,36,1095,644,413,557,432
2026-04-20,2788,68,388445.91,12801.54,47022.12,41,27,963,566,360,514,385
2026-04-21,2779,66,374259.76,9774.17,48607.35,39,27,947,557,382,514,378
2026-04-22,2842,67,384551.88,12819.69,49324.29,39,28,984,579,394,522,364
2026-04-23,2699,67,382556.21,9337.37,44537.68,37,30,943,554,350,522,330
2026-04-24,3376,79,448163.53,11699.25,48104.81,49,30,1158,681,460,616,462
2026-04-25,3693,93,518315.6,12209.81,45044.4,54,39,1257,739,543,655,499
2026-04-26,3102,76,436991.67,13097.8,48574.89,45,31,1057,622,431,595,397
2026-04-27,2591,66,382377.1,10055.69,41754.57,37,29,890,523,348,494,336
2026-04-28,2741,73,409871.72,12919.1,44911.57,40,33,918,540,385,531,367
2026-04-29,2997,72,410525.59,8440.16,46193.52,44,28,1028,605,407,562,395
2026-04-30,2772,71,404230.49,12325.36,47689.2,40,31,934,549,392,521,375
2026-05-01,3076,77,429082.5,11153.93,45546.01,43,34,1023,602,398,619,435
2026-05-02,3187,81,460333.37,16150.35,43153.87,44,37,1081,636,430,602,438
2026-05-03,3279,81,465089.37,16769.07,43364.48,47,34,1089,641,458,651,440
2026-05-04,2666,67,378784.95,9522.12,46883.67,40,27,915,538,353,504,355
2026-05-05,2789,67,372118.62,9915.03,49455.15,40,27,941,554,395,567,333
2026-05-06,2746,69,388054.77,11807.75,48416.52,40,29,942,554,374,521,356
2026-05-07,2738,69,380151.25,12822.69,45200.56,39,30,953,560,372,500,353
2026-05-08,3267,80,450928.99,10570.74,44155.12,45,35,1124,661,444,587,450
2026-05-09,3585,96,543584.19,20890.16,45109.74,54,42,1234,726,512,699,415
2026-05-10,3112,71,397194.24,13764.86,45170.51,41,30,1038,611,406,635,423
2026-05-11,2661,68,381354.27,11282.21,40500.35,39,29,896,527,359,540,338
2026-05-12,2766,68,386632.64,10059.2,45864.14,38,30,949,558,391,524,344
2026-05-13,2797,69,391285.59,10838.11,49721.41,40,29,964,567,405,511,350
2026-05-14,3207,84,471807.57,12196.05,46469.68,47,37,1102,648,482,614,361
2026-05-15,3849,97,533409.95,17567.41,43261.33,55,42,1287,757,530,776,498
2026-05-16,3737,96,547692.77,14699.86,46526.6,55,41,1261,742,509,712,514
2026-05-17,3241,80,452096.19,11183.07,46752.88,46,34,1110,653,436,599,442
2026-05-18,2979,78,437423.98,11166.49,48535.13,47,31,1028,605,397,546,403
2026-05-19,2827,73,413024.73,11982.1,48582.15,42,31,965,568,380,570,344
2026-05-20,3465,86,467966.91,13005.24,54454.1,47,39,1177,693,476,688,431
2026-05-21,3243,86,478749.23,16096.28,48392.3,49,37,1101,648,465,582,446
2026-05-22,3577,90,483411.15,15651.98,48764.08,52,38,1219,717,491,698,451
2026-05-23,3864,94,536695.02,12530.34,44262.43,53,41,1342,790,524,720,489
2026-05-24,3570,88,484292.62,12112.29,49082.59,49,39,1215,715,532,645,464
2026-05-25,2916,71,389268.36,12558.02,45638.12,37,34,1005,591,380,550,388
2026-05-26,3185,81,454367.54,13941.8,44792.14,42,39,1060,624,479,620,402
2026-05-27,3049,72,417086.11,13276.99,49742.26,41,31,1061,624,433,548,383
2026-05-28,2619,69,385613.91,10284.66,44186.84,41,28,897,528,375,496,323
2026-05-29,3889,95,533686.95,17885.67,50510.42,61,34,1329,782,489,762,528
2026-05-30,4304,119,655810.17,25365.56,48117.29,74,45,1467,863,560,813,601
2026-05-31,3318,89,490056.11,12780.91,47879.2,51,38,1110,653,458,692,405
2026-06-01,3272,86,472143.19,17881.59,43730.43,44,42,1108,652,474,612,426
2026-06-02,3258,81,444140.35,16972.77,48884.42,45,36,1134,667,468,597,392
2026-06-03,3329,86,488514.73,15403.57,44712.38,48,38,1147,675,463,669,374
2026-06-04,3230,84,467636.9,12654.93,47904.37,45,39,1090,641,466,608,424
2026-06-05,4291,113,623238.94,21417.97,50483.2,70,43,1426,839,557,873,596
2026-06-06,11131,386,1635313.68,46057.87,119214.96,230,156,3809,2240,1514,2200,1368
2026-06-07,10413,365,1557178.05,81337.28,106881.8,188,177,3508,2064,1613,1867,1362
2026-06-08,9256,336,1438081.43,143700.26,114983.12,202,134,3058,1799,1295,1785,1319
2026-06-09,7980,286,1195703.54,179245.82,115867.52,140,146,2655,1562,1152,1503,1109
2026-06-10,3211,89,491624.86,77505.04,50774.35,46,43,1094,643,436,605,433
2026-06-11,3230,84,472264.4,74094.47,45429.01,45,39,1107,651,450,598,424
2026-06-12,4108,106,596687.45,111278.07,48231.89,60,46,1425,838,524,797,523
2026-06-13,4298,106,593190.74,140476.76,48935.61,58,48,1466,863,624,753,592
2026-06-14,3077,78,426841.31,53621.93,48225.46,43,35,1082,637,415,517,427
2026-06-15,3238,85,470343.91,44009.51,48856.97,48,37,1090,641,433,594,480
2026-06-16,2774,74,407506.88,22263.87,49815.68,42,32,946,557,384,510,377
2026-06-17,3335,87,489081.98,9674.55,49103.29,45,42,1145,673,493,581,443
2026-06-18,3379,90,492823.64,12601.26,45684.65,43,47,1162,684,459,636,439
2026-06-19,3950,106,581261.68,19351.04,50710.42,57,49,1312,772,597,812,457
2026-06-20,4111,114,618447.92,21746.63,47326.16,65,49,1430,841,569,733,539
2026-06-21,3847,106,598314.27,24340.68,49714.09,52,54,1304,779,489,794,481
2026-06-22,3336,87,491016.12,17027.91,46148.45,48,39,1148,697,435,624,433
2026-06-23,3125,82,458244.93,12997.51,54496.84,40,42,1015,626,476,598,411
2026-06-24,3174,84,456481.98,14949.36,51294.04,42,42,1058,663,421,585,447
2026-06-25,3017,82,460542.19,12391.98,51274.92,46,36,1003,639,416,579,380
2026-06-26,4347,108,589535.36,14721.92,56408.59,58,50,1495,966,551,824,510
2026-06-27,4336,109,602302.06,19762.86,54873.89,56,53,1398,918,652,860,507
2026-06-28,4091,108,604701.08,21854.39,54396.34,60,48,1380,920,524,724,543
2026-06-29,3278,89,470261.42,13703.88,54192.36,52,37,1065,721,450,630,412
2026-06-30,3824,102,543384.63,14971.69,53985.25,54,48,1257,864,534,677,493
2026-07-01,3672,95,525045.19,19796.3,54822.42,51,44,1186,827,508,696,455
2026-07-02,3786,108,581594.11,18691.29,54213.39,61,47,1205,853,502,741,485
2026-07-03,5091,130,699559.4,20821.45,57418.0,64,66,1657,1190,656,916,672
2026-07-04,5034,132,722811.96,18478.9,59322.07,64,68,1580,1151,713,916,674
2026-07-05,4068,109,605527.7,13580.78,58994.83,60,49,1294,957,584,746,486
2026-07-06,3609,99,531675.67,14853.28,60332.86,53,46,1137,853,490,701,428
2026-07-07,3670,99,539734.07,14404.7,67329.24,54,45,1126,857,482,723,482
2026-07-08,3673,29,153507.47,5103.91,62118.08,14,15,1145,884,513,675,455
2026-07-09,3700,28,150730.38,4569.62,62110.29,14,14,1162,909,510,686,433
2026-07-10,5149,41,218619.92,6589.77,72622.26,22,19,1558,1236,748,972,635
2026-07-11,4596,33,167966.26,4612.4,70164.78,17,16,1416,1140,672,810,558
2026-07-12,3976,107,574903.22,23632.54,66567.73,48,59,1186,968,574,735,514
2026-07-13,4416,126,704901.74,26990.64,68429.57,68,58,1351,1118,582,834,531
2026-07-14,4076,105,567616.41,15076.39,68435.21,57,48,1254,1052,531,753,486
2026-07-15,3680,103,559403.26,13206.86,69534.34,57,46,1108,942,465,709,455
2026-07-16,4185,110,581840.93,17986.88,72552.46,59,51,1256,1083,558,813,475
2026-07-17,5047,151,841388.39,32029.71,67588.16,75,76,1489,1300,641,940,677
2026-07-18,4661,129,698405.91,20874.58,80080.64,71,58,1360,1204,619,884,594
2026-07-19,4647,130,711584.01,23048.31,67244.01,64,66,1340,1202,568,928,609
2026-07-20,3983,104,561234.54,17163.16,71771.07,52,52,1181,1073,549,730,451
2026-07-21,3832,110,596572.79,18785.14,70861.73,54,56,1094,1008,534,694,502
2026-07-22,3885,108,597280.35,18143.76,64050.89,48,60,1108,1034,551,743,450
2026-07-23,3828,109,593915.47,22315.94,70327.97,62,47,1093,1033,534,690,478
2026-07-24,5158,149,823987.36,21246.95,72459.42,80,69,1479,1416,714,962,587
2026-07-25,5279,150,817516.79,22023.78,76694.68,78,72,1512,1467,734,955,611
2026-07-26,4215,110,592898.96,9067.73,70602.39,56,54,1167,1147,571,799,531
2026-07-27,4137,103,555691.69,14827.71,77852.67,49,54,1158,1153,636,700,490
2026-07-28,3680,102,528861.56,14055.59,74961.34,55,47,1046,1055,468,656,454
2026-07-29,4026,111,595131.7,22681.67,79966.14,58,53,1105,1128,536,810,447
2026-07-30,3982,119,638741.5,12802.5,78196.76,65,54,1120,1159,561,706,436
2026-07-31,5088,133,713904.55,20856.69,88276.23,63,70,1396,1445,712,918,617
2026-08-01,6134,176,933330.6,29771.95,85565.37,95,81,1681,1739,799,1116,799
2026-08-02,4506,120,633040.39,20635.87,83741.87,60,60,1210,1252,643,838,564
2026-08-03,4335,122,652844.37,13766.85,86846.86,56,66,1194,1235,589,780,537
2026-08-04,4315,118,618672.85,18693.07,81921.93,62,56,1219,1261,525,731,580
2026-08-05,3873,117,634842.71,16710.04,71270.32,64,53,1051,1088,508,733,492
2026-08-06,4210,118,628671.22,20634.53,81901.94,60,58,1171,1212,537,757,533
2026-08-07,5383,150,811829.88,35947.88,85555.18,83,67,1493,1545,728,920,697
2026-08-08,5515,152,817551.03,27444.56,84814.36,83,69,1506,1558,738,1006,708
2026-08-09,4884,133,712648.49,21750.64,81921.75,67,66,1359,1406,695,853,572
2026-08-10,4781,132,708281.03,24228.19,84710.04,69,63,1308,1353,650,875,596
2026-08-11,3938,103,553401.34,15701.3,85274.53,59,44,1102,1140,537,648,511
2026-08-12,4375,120,633551.19,18017.05,86476.31,56,64,1213,1255,580,781,547
2026-08-13,4407,129,662399.54,19654.26,93609.24,68,61,1248,1291,561,775,533
2026-08-14,4977,131,703738.37,11913.35,92523.47,66,65,1389,1437,621,885,646
2026-08-15,5369,153,820582.63,23926.85,87169.46,75,78,1467,1518,673,1020,691
2026-08-16,4540,130,685933.05,18918.96,91326.04,58,72,1245,1288,640,760,607
2026-08-17,3928,111,610551.1,17265.6,97608.45,56,55,1088,1125,547,712,456
2026-08-18,4388,134,697522.37,16224.34,101527.51,63,71,1217,1259,582,825,504
2026-08-19,4923,140,753149.04,21230.54,99873.04,62,78,1377,1425,672,827,622
2026-08-20,4922,141,743758.27,24340.36,98581.45,70,71,1343,1389,735,859,596
2026-08-21,4798,132,697270.92,18269.35,95412.93,64,68,1299,1344,645,904,605
2026-08-22,5420,154,828315.37,27553.39,100090.57,77,77,1539,1592,748,914,627
2026-08-23,4365,126,669683.43,23561.21,95759.16,59,67,1205,1247,592,794,528
2026-08-24,4396,129,678499.35,22885.25,106646.86,63,66,1246,1289,581,742,538
2026-08-25,4212,126,640273.77,15388.87,88352.35,59,67,1150,1190,554,749,570
2026-08-26,4310,125,644208.88,17290.22,96560.79,63,62,1166,1206,572,812,555
2026-08-27,4193,120,657516.54,21196.64,108601.92,60,60,1164,1204,556,767,501
2026-08-28,5562,148,764161.44,21821.16,104250.59,72,76,1519,1571,763,1053,655
