customer_id,tenure_months,monthly_spend,support_tickets,satisfaction_score,active_discount,churned
CUST-0061,19,105.33,2,7,0,0
CUST-0062,58,80.34,4,9,0,1
CUST-0063,30,119.87,2,4,0,1
CUST-0064,30,105.7,1,10,0,0
CUST-0065,26,105.25,1,7,1,0
CUST-0066,9,96.62,0,2,1,1
CUST-0067,56,149.83,0,10,0,0
CUST-0068,1,73.85,1,8,1,1
CUST-0069,11,19.89,0,4,0,0
CUST-0070,14,128.13,3,6,1,1
CUST-0071,17,66.27,2,4,0,0
CUST-0072,8,83.24,0,6,0,1
CUST-0073,2,119.29,1,10,1,0
CUST-0074,40,31.93,2,9,1,0
CUST-0075,58,42.45,0,3,0,0
CUST-0076,8,31.96,2,10,1,0
CUST-0077,18,56.18,4,5,0,0
CUST-0078,30,93.19,0,8,0,0
CUST-0079,55,95.73,1,8,1,1
CUST-0080,41,88.29,2,5,0,0
CUST-0081,46,37.62,1,5,0,0
CUST-0082,35,10.7,1,5,0,0
CUST-0083,25,81.63,2,9,0,0
CUST-0084,12,65.85,3,4,1,1
CUST-0085,51,93.78,2,3,1,0
CUST-0086,48,101.06,0,4,0,0
CUST-0087,2,84.15,2,2,0,1
CUST-0088,43,102.8,0,4,1,0
CUST-0089,5,86.88,3,2,1,1
CUST-0090,44,95.9,1,1,0,0
CUST-0091,49,58.86,0,8,0,0
CUST-0092,8,74.61,2,1,1,1
CUST-0093,26,85.9,3,6,0,1
CUST-0094,8,104.62,3,8,0,1
CUST-0095,34,68.19,1,8,0,0
CUST-0096,55,95.64,3,5,1,0
CUST-0097,5,72.02,0,2,1,1
CUST-0098,24,76.47,1,10,0,0
CUST-0099,58,104.89,4,9,0,0
CUST-0100,18,20.21,1,7,0,0
CUST-0101,8,41.11,2,1,0,0
CUST-0102,29,35.53,2,1,0,0
CUST-0103,30,10.0,1,4,0,0
CUST-0104,40,59.65,0,2,0,1
CUST-0105,19,102.48,0,9,0,0
CUST-0106,57,71.45,2,3,0,0
CUST-0107,31,85.93,1,3,1,0
CUST-0108,17,112.68,2,10,0,1
CUST-0109,57,119.83,0,9,0,0
CUST-0110,55,77.93,0,3,1,0
CUST-0111,30,120.61,2,4,0,0
CUST-0112,2,82.76,0,6,1,0
CUST-0113,36,54.88,3,7,1,0
CUST-0114,33,62.17,0,10,0,0
CUST-0115,9,35.58,1,9,1,0
CUST-0116,38,53.36,6,10,0,0
CUST-0117,50,69.26,0,1,0,1
CUST-0118,7,104.11,1,3,0,0
CUST-0119,43,131.62,0,6,1,0
CUST-0120,9,38.53,3,1,1,1
CUST-0121,45,91.78,1,4,1,0
CUST-0122,25,48.78,3,2,1,0
CUST-0123,1,94.24,1,10,0,0
CUST-0124,58,76.07,2,1,0,0
CUST-0125,10,25.07,1,2,1,0
CUST-0126,36,107.85,1,2,0,1
CUST-0127,11,61.85,2,2,0,0
CUST-0128,56,63.98,1,6,1,0
CUST-0129,44,47.91,1,4,1,0
CUST-0130,48,60.37,3,10,0,0
CUST-0131,26,92.84,1,3,0,0
CUST-0132,28,74.32,0,6,1,0
CUST-0133,38,89.86,4,7,0,0
CUST-0134,47,90.86,2,7,0,0
CUST-0135,50,119.62,0,8,0,0
CUST-0136,2,69.72,0,3,1,0
CUST-0137,40,35.69,3,6,1,0
CUST-0138,7,112.02,1,9,0,0
CUST-0139,17,70.06,1,9,0,0
CUST-0140,49,113.44,0,7,0,0
CUST-0141,15,91.5,2,7,0,0
CUST-0142,48,76.07,1,9,1,0
CUST-0143,28,90.46,1,7,0,0
CUST-0144,14,138.53,4,10,0,1
CUST-0145,20,142.31,2,2,0,1
CUST-0146,32,82.08,2,4,0,0
CUST-0147,46,84.81,2,2,0,0
CUST-0148,36,112.29,3,1,0,1
CUST-0149,56,54.63,2,5,0,0
CUST-0150,52,89.99,1,3,0,0
CUST-0151,45,79.22,0,5,0,0
CUST-0152,36,89.42,3,5,1,0
CUST-0153,18,55.0,2,7,1,0
CUST-0154,25,32.31,3,10,1,0
CUST-0155,8,17.81,0,9,0,0
CUST-0156,23,46.48,2,4,0,0
CUST-0157,55,66.24,4,4,0,0
CUST-0158,26,71.2,1,8,0,0
CUST-0159,7,138.12,3,2,0,1
CUST-0160,39,113.18,2,6,0,0
CUST-0161,57,51.14,3,5,1,0
CUST-0162,52,90.43,1,2,0,1
CUST-0163,17,67.79,0,7,0,0
CUST-0164,27,71.47,0,4,0,0
CUST-0165,32,85.56,3,2,1,1
CUST-0166,15,98.58,1,7,0,0
CUST-0167,16,69.82,2,2,0,0
CUST-0168,14,111.92,1,7,0,0
CUST-0169,59,45.74,1,2,0,0
CUST-0170,45,80.19,1,5,0,0
CUST-0171,50,157.93,1,9,0,0
CUST-0172,49,86.69,3,3,0,0
CUST-0173,57,123.0,1,8,0,0
CUST-0174,7,82.75,2,8,0,0
CUST-0175,53,97.42,1,10,1,0
CUST-0176,4,78.3,2,2,0,1
CUST-0177,29,74.89,3,8,0,0
CUST-0178,36,56.62,2,10,1,0
CUST-0179,22,92.91,1,8,0,1
CUST-0180,9,54.45,7,2,0,1
CUST-0181,12,99.97,1,9,0,0
CUST-0182,49,112.56,1,2,0,0
CUST-0183,19,91.0,1,6,0,0
CUST-0184,19,71.41,1,5,0,0
CUST-0185,55,93.62,2,6,0,0
CUST-0186,9,70.74,0,6,0,1
CUST-0187,55,108.07,3,1,0,0
CUST-0188,55,25.06,1,6,0,0
CUST-0189,36,69.93,2,10,1,0
CUST-0190,10,20.28,0,5,1,0
CUST-0191,10,35.15,4,3,0,1
CUST-0192,17,120.92,0,10,0,0
CUST-0193,35,106.86,1,1,0,0
CUST-0194,10,58.42,2,5,1,0
CUST-0195,27,34.92,1,6,0,0
CUST-0196,7,10.0,2,5,0,0
CUST-0197,32,63.7,5,10,1,0
CUST-0198,2,152.61,3,5,0,1
CUST-0199,42,93.05,1,10,0,0
CUST-0200,4,63.21,2,1,1,1
CUST-0201,12,93.95,3,8,0,0
CUST-0202,11,33.17,4,6,1,0
CUST-0203,50,71.08,1,3,0,0
CUST-0204,4,82.98,0,3,0,0
CUST-0205,26,77.42,1,8,0,0
CUST-0206,35,103.72,0,7,1,1
CUST-0207,31,90.34,0,7,0,0
CUST-0208,41,100.05,2,1,0,0
CUST-0209,48,59.35,2,6,1,0
CUST-0210,24,106.93,0,10,1,0
CUST-0211,49,128.87,4,1,1,0
CUST-0212,19,50.9,2,5,0,0
CUST-0213,59,53.37,3,5,0,0
CUST-0214,30,120.07,1,9,0,1
CUST-0215,44,74.26,0,3,0,0
CUST-0216,52,122.11,1,5,0,0
CUST-0217,47,66.72,0,8,0,0
CUST-0218,51,123.65,0,1,0,0
CUST-0219,32,83.94,0,9,0,0
CUST-0220,3,87.75,3,9,1,1
CUST-0221,30,126.94,2,8,0,0
CUST-0222,11,69.15,3,7,0,0
CUST-0223,53,51.77,0,8,0,0
CUST-0224,14,66.54,1,8,0,0
CUST-0225,14,93.57,3,10,1,0
CUST-0226,15,33.03,1,5,0,0
CUST-0227,38,99.12,0,5,0,0
CUST-0228,34,63.84,2,7,0,1
CUST-0229,56,114.43,3,2,0,0
CUST-0230,25,10.0,1,9,1,0
CUST-0231,17,56.4,1,8,1,0
CUST-0232,3,29.41,2,7,1,1
CUST-0233,1,55.21,0,4,1,0
CUST-0234,23,87.43,0,4,1,0
CUST-0235,55,74.62,2,5,0,0
CUST-0236,31,72.4,2,7,1,0
CUST-0237,53,75.22,1,8,1,0
CUST-0238,6,86.1,0,7,0,0
CUST-0239,6,49.74,1,10,0,0
CUST-0240,50,101.21,1,10,0,0
CUST-0241,7,99.88,0,8,0,0
CUST-0242,4,91.55,0,4,0,0
CUST-0243,24,96.7,1,6,0,0
CUST-0244,55,88.89,0,5,0,0
CUST-0245,41,141.05,2,7,0,0
CUST-0246,6,77.39,0,9,0,0
CUST-0247,50,70.79,1,4,0,0
CUST-0248,50,57.39,1,6,0,1
CUST-0249,48,49.03,2,1,1,0
CUST-0250,54,42.67,0,8,0,0
CUST-0251,15,53.34,0,5,1,0
CUST-0252,58,77.88,1,5,1,0
CUST-0253,19,90.03,5,6,1,0
CUST-0254,48,81.53,1,3,0,0
CUST-0255,35,57.03,3,6,0,0
CUST-0256,46,107.01,4,8,0,0
CUST-0257,38,102.18,2,4,0,0
CUST-0258,38,75.21,1,2,1,0
CUST-0259,37,60.41,0,4,0,0
CUST-0260,46,96.45,2,2,0,0
CUST-0261,44,85.64,1,4,1,0
CUST-0262,8,36.56,3,7,0,1
CUST-0263,49,77.96,1,2,0,0
CUST-0264,32,87.86,2,8,1,0
CUST-0265,20,53.01,1,3,0,1
CUST-0266,31,85.7,1,9,1,0
CUST-0267,58,36.36,0,8,0,0
CUST-0268,51,120.09,0,3,0,0
CUST-0269,50,117.44,2,6,0,0
CUST-0270,28,72.42,2,2,0,1
CUST-0271,47,90.9,4,1,1,0
CUST-0272,23,10.0,3,10,0,0
CUST-0273,41,45.31,0,9,0,0
CUST-0274,38,71.19,0,2,0,0
CUST-0275,15,47.84,2,3,1,0
CUST-0276,16,101.43,3,2,0,0
CUST-0277,4,139.92,0,4,0,1
CUST-0278,9,44.7,3,3,1,1
CUST-0279,26,54.88,1,4,1,0
CUST-0280,29,87.06,0,6,0,0
CUST-0281,10,128.33,2,2,0,1
CUST-0282,25,43.33,3,9,1,0
CUST-0283,36,87.47,2,8,0,1
CUST-0284,14,134.64,0,8,0,0
CUST-0285,20,30.45,2,2,0,1
CUST-0286,22,41.57,3,8,0,1
CUST-0287,30,67.29,1,9,0,0
CUST-0288,22,64.38,2,2,0,1
CUST-0289,44,104.38,2,8,0,0
CUST-0290,20,87.25,2,4,0,1
CUST-0291,26,26.75,0,8,0,0
CUST-0292,23,95.46,2,5,0,1
CUST-0293,11,62.67,0,9,0,0
CUST-0294,41,118.23,2,2,1,0
CUST-0295,14,61.17,0,4,0,0
CUST-0296,18,60.9,0,3,0,0
CUST-0297,47,96.23,1,3,0,1
CUST-0298,56,102.89,4,4,0,1
CUST-0299,40,93.44,3,4,0,1
CUST-0300,55,29.43,1,2,0,0
